logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window
0.3,10.0,0.6,20,60
0.3,10.0,0.65,20,0
0.3,10.0,0.65,20,20
0.3,10.0,0.65,20,40
0.3,10.0,0.65,20,60
0.3,10.0,0.69,20,0
0.3,10.0,0.69,20,20
0.3,10.0,0.69,20,40
0.3,10.0,0.69,20,60
0.3,10.0,0.7,20,0
0.3,10.0,0.7,20,20
0.3,10.0,0.7,20,40
0.3,10.0,0.7,20,60
0.3,10.0,0.75,20,0
0.3,10.0,0.75,20,20
0.3,10.0,0.75,20,40
0.3,10.0,0.75,20,60
0.3,10.0,0.8,20,0
