目标转债代码,目标转债名称,logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window,n,mae,rmse,bias,within5,within10,noncap_n,noncap_mae,是否入选
111026.SH,派克转债,0.3,0.1,0.85,0,60,178,5.636521699173371,9.531553322380804,-2.1918124013706772,0.651685393258427,0.8146067415730337,111,4.947370170919323,False
111026.SH,派克转债,0.3,0.1,0.9,0,0,178,5.679060715515523,9.251785514577684,-1.2534419025126355,0.5842696629213483,0.8089887640449438,111,5.253444938197324,False
111026.SH,派克转债,0.3,0.1,0.9,0,20,178,5.656387840429047,9.502603649561078,-1.9200567623364497,0.6404494382022472,0.8202247191011236,111,5.081024513710915,False
111026.SH,派克转债,0.3,0.1,0.9,0,40,178,5.609364898764502,9.587940167849327,-2.0995671908927496,0.6685393258426966,0.8146067415730337,111,4.88702348245487,False
111026.SH,派克转债,0.3,0.1,0.9,0,60,178,5.613884556035143,9.548994699228981,-2.1796711425603355,0.651685393258427,0.8202247191011236,111,4.946313592104524,False
111026.SH,派克转债,0.3,0.1,0.95,0,0,178,5.6602521073297885,9.293061271259969,-1.2249450462022258,0.5842696629213483,0.8089887640449438,111,5.27627409236558,False
111026.SH,派克转债,0.3,0.1,0.95,0,20,178,5.655103618416378,9.549714013613267,-1.8757703202926062,0.6404494382022472,0.8314606741573034,111,5.132186529018739,False
111026.SH,派克转债,0.3,0.1,0.95,0,40,178,5.596564897612071,9.592479916313373,-2.0469748012581253,0.6629213483146067,0.8146067415730337,111,4.924123634162565,False
111026.SH,派克转债,0.3,0.1,0.95,0,60,178,5.598432879483004,9.57819190156481,-2.138958211881257,0.6573033707865169,0.8202247191011236,111,4.962818990285209,False
111026.SH,派克转债,0.3,0.1,1.0,0,0,178,5.648095748001802,9.340346017478392,-1.1964481898918138,0.5955056179775281,0.8089887640449438,111,5.309770816774189,False
111026.SH,派克转债,0.3,0.1,1.0,0,20,178,5.654307333583667,9.592968757623575,-1.8229992866896005,0.6460674157303371,0.8370786516853933,111,5.1855010380799635,False
111026.SH,派克转债,0.3,0.1,1.0,0,40,178,5.596932399518241,9.608692243530442,-1.994682771408542,0.651685393258427,0.8202247191011236,111,4.978822391357799,False
111026.SH,派克转债,0.3,0.1,1.0,0,60,178,5.585490868380243,9.612036536314124,-2.086917034975698,0.651685393258427,0.8202247191011236,111,4.99007582571464,False
111026.SH,派克转债,0.3,1.0,0.0,0,0,178,6.6842972356741015,9.573042330896772,-1.7611154226994639,0.449438202247191,0.7921348314606742,111,5.905908800176275,False
111026.SH,派克转债,0.3,1.0,0.0,0,20,178,6.520344449017207,9.799317895199806,-2.3518677260038543,0.5224719101123596,0.7752808988764045,111,5.703965040743303,False
